player,stat_type,game_id,rec,yds,avg,td,long,tgts,fum,lost
Jackson Meeks,receiving,401773016,3,78,26.0,1,68,4,,
Ronnie Bell,receiving,401773016,2,26,13.0,0,14,2,,
Isaac TeSlaa,receiving,401773016,2,18,9.0,1,11,3,,
Tom Kennedy,receiving,401773016,2,14,7.0,0,15,3,,
Jacob Saylors,receiving,401773016,2,14,7.0,0,8,2,,
Shane Zylstra,receiving,401773016,3,8,2.7,0,4,3,,
Malik Taylor,receiving,401773016,0,0,0.0,0,0,1,,
Hendon Hooker,receiving,401773016,0,,,,,,2,2
Kyle Allen,receiving,401773016,1,,,,,,1,0
